idx,sign,k,p_bad
1132,1,6.0,0.9909616
1132,-1,6.0,0.9387851
26,1,0.5,0.018195463
26,-1,0.5,0.03585138
26,1,1.0,0.16293919
26,-1,1.0,0.13135862
26,1,2.0,0.7291865
26,-1,2.0,0.90563667
26,1,3.0,0.8911318
26,-1,3.0,0.90563667
26,1,4.0,0.9489266
26,-1,4.0,0.90563667
26,1,6.0,0.98756546
26,-1,6.0,0.90563667
520,1,0.5,0.00050232006
520,-1,0.5,0.0055143163
520,1,1.0,0.00078436587
520,-1,1.0,0.026364539
520,1,2.0,0.030180184
520,-1,2.0,0.34952295
520,1,3.0,0.1502809
520,-1,3.0,0.36278853
520,1,4.0,0.31255138
520,-1,4.0,0.36278853
520,1,6.0,0.8773831
520,-1,6.0,0.36278853
439,1,0.5,1.2481354e-07
439,-1,0.5,2.038825e-07
439,1,1.0,6.428253e-07
439,-1,1.0,3.265962e-07
439,1,2.0,1.346193e-05
439,-1,2.0,2.33531e-06
439,1,3.0,0.0001446893
439,-1,3.0,2.722962e-05
439,1,4.0,0.0014408691
439,-1,4.0,0.00037801906
439,1,6.0,0.07895958
439,-1,6.0,0.006653867
719,1,0.5,0.5378699
719,-1,0.5,0.56314826
719,1,1.0,0.85005087
719,-1,1.0,0.9182957
719,1,2.0,0.9545015
719,-1,2.0,0.9829798
719,1,3.0,0.9814098
719,-1,3.0,0.9829798
719,1,4.0,0.990342
719,-1,4.0,0.9829798
719,1,6.0,0.997505
719,-1,6.0,0.9829798
1042,1,0.5,2.9608426e-08
1042,-1,0.5,1.5954933e-07
1042,1,1.0,1.8106667e-07
1042,-1,1.0,3.892733e-07
1042,1,2.0,4.557946e-06
1042,-1,2.0,3.033674e-06
1042,1,3.0,5.403394e-05
1042,-1,3.0,3.85952e-05
1042,1,4.0,0.00048154328
1042,-1,4.0,0.0006246866
1042,1,6.0,0.01152513
1042,-1,6.0,0.002933773
504,1,0.5,0.00083706586
504,-1,0.5,0.0039673164
504,1,1.0,0.0058883717
504,-1,1.0,0.013896291
504,1,2.0,0.12709427
504,-1,2.0,0.24449067
504,1,3.0,0.49566424
504,-1,3.0,0.7673326
504,1,4.0,0.8126114
504,-1,4.0,0.7673326
504,1,6.0,0.96743864
504,-1,6.0,0.7673326
371,1,0.5,0.0008025146
371,-1,0.5,2.7583157e-05
371,1,1.0,0.0023324988
371,-1,1.0,2.9410376e-05
371,1,2.0,0.00914379
371,-1,2.0,0.00095473806
371,1,3.0,0.048365664
371,-1,3.0,0.0149565805
371,1,4.0,0.24814475
371,-1,4.0,0.3372147
371,1,6.0,0.9143569
371,-1,6.0,0.9597004
1336,1,0.5,0.680242
1336,-1,0.5,0.40242627
1336,1,1.0,0.8686091
1336,-1,1.0,0.85460913
1336,1,2.0,0.95895374
1336,-1,2.0,0.9717378
1336,1,3.0,0.984386
1336,-1,3.0,0.9717378
1336,1,4.0,0.9918355
1336,-1,4.0,0.9717378
1336,1,6.0,0.99776006
1336,-1,6.0,0.9717378
1106,1,0.5,0.0066890526
1106,-1,0.5,0.025628487
1106,1,1.0,0.043952446
1106,-1,1.0,0.09186234
1106,1,2.0,0.44667405
1106,-1,2.0,0.72859025
1106,1,3.0,0.7577236
1106,-1,3.0,0.72859025
1106,1,4.0,0.8929753
1106,-1,4.0,0.72859025
1106,1,6.0,0.973709
1106,-1,6.0,0.72859025
978,1,0.5,0.8269923
978,-1,0.5,0.7855076
978,1,1.0,0.95345914
978,-1,1.0,0.9423339
978,1,2.0,0.99062717
978,-1,2.0,0.9423339
978,1,3.0,0.99708825
978,-1,3.0,0.9423339
978,1,4.0,0.9988129
978,-1,4.0,0.9423339
978,1,6.0,0.9996983
978,-1,6.0,0.9423339
1577,1,0.5,0.19772577
1577,-1,0.5,0.028603375
1577,1,1.0,0.5618752
1577,-1,1.0,0.12618908
1577,1,2.0,0.8484588
1577,-1,2.0,0.9395843
1577,1,3.0,0.9357883
1577,-1,3.0,0.9573083
1577,1,4.0,0.9705142
1577,-1,4.0,0.9573083
1577,1,6.0,0.9934549
1577,-1,6.0,0.9573083
1308,1,0.5,0.021553652
1308,-1,0.5,0.19644602
1308,1,1.0,0.3073728
1308,-1,1.0,0.7107658
1308,1,2.0,0.8282229
1308,-1,2.0,0.98886603
1308,1,3.0,0.92068756
1308,-1,3.0,0.98886603
1308,1,4.0,0.9619435
