variable,month,N,SUSPECT,BAD,Q_median,Q_p95,BAD (%),SUSPECT (%)
Avg_Turb,1,9938,61,216,0.0,0.20603448275862038,2.1734755484000803,0.6138055946870598
Avg_Turb,2,9162,50,260,0.0,0.23076923076923098,2.837808338790657,0.5457323728443572
Avg_Turb,3,9488,56,227,0.0,0.2222222222222224,2.392495784148398,0.5902192242833052
Avg_Turb,4,8937,46,215,0.0,0.21255411255411027,2.405728991831711,0.514714109880273
Avg_Turb,5,9880,82,197,0.0,0.21431909212282996,1.9939271255060729,0.8299595141700404
Avg_Turb,6,9521,52,189,0.0,0.20000000000000023,1.9850856002520743,0.5461611175296712
Avg_Turb,7,9407,73,221,0.0,0.20000000000000018,2.34931434038482,0.7760178590411396
Avg_Turb,8,9840,63,159,0.0,0.16514729648709017,1.6158536585365855,0.6402439024390244
Avg_Turb,9,9508,63,198,0.0,0.18129657228017823,2.0824568784181743,0.6625999158603282
Avg_Turb,10,8721,66,191,0.0,0.2068965517241379,2.1901158124068343,0.7567939456484348
Avg_Turb,11,7586,49,145,0.0,0.20554812834224603,1.911415765884524,0.6459267070920116
Avg_Turb,12,9239,66,220,0.0,0.22727272727272704,2.381210087671826,0.7143630263015478
Avg_Chl,1,9938,32,49,0.0,0.12000000000000001,0.4930569531092775,0.32199637754075267
Avg_Chl,2,9162,30,41,0.0,0.11623434704829966,0.44750054573237286,0.3274394237066143
Avg_Chl,3,9488,37,33,0.0,0.1249999999999999,0.34780775716694773,0.3899662731871838
Avg_Chl,4,8937,37,25,0.0,0.14285714285714268,0.2797359292827571,0.4140091753384805
Avg_Chl,5,9880,31,48,0.0,0.14285714285714296,0.48582995951417,0.31376518218623484
Avg_Chl,6,9521,33,28,0.0,0.1428571428571425,0.29408675559289993,0.3466022476630606
Avg_Chl,7,9407,30,49,0.0,0.1363636363636365,0.5208886999043265,0.31891144892101625
Avg_Chl,8,9840,42,41,0.0,0.13797892720306454,0.4166666666666667,0.4268292682926829
Avg_Chl,9,9508,36,23,0.0,0.1310057092665785,0.2419015565839293,0.37862852334875896
Avg_Chl,10,8721,21,35,0.0,0.1250000000000001,0.4013301226923518,0.24079807361541108
Avg_Chl,11,7586,23,49,0.0,0.12500000000000008,0.6459267070920116,0.30319008700237277
Avg_Chl,12,9239,26,45,0.0,0.11111111111111104,0.4870656997510553,0.28141573763394306
Avg_CDOM,1,9938,32,50,0.0,0.08004268292682921,0.5031193399074261,0.32199637754075267
Avg_CDOM,2,9162,28,94,0.0,0.10000000000000006,1.0259768609473914,0.30561012879284
Avg_CDOM,3,9488,23,80,0.0,0.08000000000000007,0.8431703204047217,0.2424114671163575
Avg_CDOM,4,8937,23,51,0.0,0.07692307692307698,0.5706612957368244,0.2573570549401365
Avg_CDOM,5,9880,18,48,0.0,0.07142857142857073,0.48582995951417,0.18218623481781376
Avg_CDOM,6,9521,24,37,0.0,0.06250000000000004,0.38861464131918916,0.25207436193677135
Avg_CDOM,7,9407,36,89,0.0,0.09191270860076955,0.9461039651323483,0.3826937387052195
Avg_CDOM,8,9840,37,65,0.0,0.07692307692307698,0.6605691056910569,0.37601626016260165
Avg_CDOM,9,9508,32,47,0.0,0.08333333333333341,0.4943205721497686,0.33655868742111905
Avg_CDOM,10,8721,25,53,0.0,0.09090909090909097,0.6077284715055613,0.2866643733516799
Avg_CDOM,11,7586,28,62,0.0,0.09375000000000003,0.8172950171368311,0.3691009754811495
Avg_CDOM,12,9239,34,56,0.0,0.09756097560975571,0.6061262041346466,0.368005195367464
